"","County","Category.Name","Bottles Sold","Avg Price Per Bottle","Sales in Dollars","Volume Sold by Gallons"
"153","Story","CANADIAN WHISKIES",68724,12.1382288596719,984449.14,19676.83
"154","Story","IMPORTED VODKA",20411,18.3145778594252,409823.55,5193.17
"155","Story","PUERTO RICO & VIRGIN ISLANDS RUM",29585,10.4398653914662,311893.06,8493.47
"156","Story","SPICED RUM",45730,14.6124949353964,696629.87,12867.57
"157","Story","STRAIGHT BOURBON WHISKIES",33999,14.4325456172648,576780.42,8354.28
"158","Story","TEQUILA",21305,15.2489867836621,376855.88,4603.34
"159","Story","VODKA 80 PROOF",118116,7.65644833042045,1111608.37,33696.88
"160","Story","WHISKEY LIQUEUR",29705,13.7799147884639,412674.32,6441.31
"161","Wapello","AMERICAN COCKTAILS",3085,10.5508698739086,32659.56,1228.6
"162","Wapello","BLENDED WHISKIES",11661,8.03046526123451,84288.76,2445.44
"163","Wapello","CANADIAN WHISKIES",32955,13.4290143258484,467765.56,8318.75
"164","Wapello","IMPORTED VODKA",5842,22.8047398317027,126506.81,1407.38
"165","Wapello","PUERTO RICO & VIRGIN ISLANDS RUM",6364,10.5171201947099,78055.92,1913.02
"166","Wapello","SPICED RUM",19291,14.5498930177646,290066.52,4828.13
"167","Wapello","STRAIGHT BOURBON WHISKIES",10131,14.9242805756327,164518.65,2517.4
"168","Wapello","TEQUILA",8523,17.5796519068529,141926.45,1768.62
"169","Wapello","VODKA 80 PROOF",38629,7.67619235200147,292561.7,9843.99
"170","Wapello","WHISKEY LIQUEUR",11132,13.8772756715275,142138.1,2206.24
"171","Warren","AMERICAN COCKTAILS",5680,10.8844691418953,61742.05,2478.8
"172","Warren","BLENDED WHISKIES",8188,11.2711507813101,85744.54,2063.27
"173","Warren","CANADIAN WHISKIES",25007,12.4809553355589,333844.94,6804.03
"174","Warren","IMPORTED VODKA",5525,19.526938000422,106886.41,1500.76
"175","Warren","PUERTO RICO & VIRGIN ISLANDS RUM",7149,10.7559565303783,78160.15,2076.45
"176","Warren","SPICED RUM",15800,13.3395333184127,233466.14,4050.64
"177","Warren","STRAIGHT BOURBON WHISKIES",7462,14.2371601620959,107606.12,1866.65
"178","Warren","TEQUILA",3862,15.4853173900206,64999.35,831.79
"179","Warren","VODKA 80 PROOF",42243,9.88459214187855,372502.59,11281.65
"180","Warren","WHISKEY LIQUEUR",11423,14.0274173831081,141359.43,2129.37
"181","Webster","AMERICAN COCKTAILS",4847,9.86322658613004,50621.42,1973.11
"182","Webster","BLENDED WHISKIES",8890,8.85799336798859,73472.53,2237.64
"183","Webster","CANADIAN WHISKIES",37631,12.481465186313,507035.81,10664.71
"184","Webster","IMPORTED VODKA",9008,19.7193251463805,171887.64,1909.45
"185","Webster","PUERTO RICO & VIRGIN ISLANDS RUM",8294,10.7480386061191,92544.1,2276.7
"186","Webster","SPICED RUM",19218,15.9600077152364,302082.72,5168.91
"187","Webster","STRAIGHT BOURBON WHISKIES",7531,14.442508727312,119470.8,1812.51
"188","Webster","TEQUILA",9494,19.7172533115273,163852.47,2086.63
"189","Webster","VODKA 80 PROOF",52813,7.36617919653357,390667.91,13280.39
"190","Webster","WHISKEY LIQUEUR",12895,14.1698266316134,164417.01,2543.29
"191","Woodbury","AMERICAN COCKTAILS",14620,10.5044845995681,162987.5,6253.36
"192","Woodbury","BLENDED WHISKIES",34568,8.5971125332185,273085.16,8605.98
"193","Woodbury","CANADIAN WHISKIES",100529,13.3549796060731,1381688.04,24944.21
"194","Woodbury","IMPORTED VODKA",29310,18.195289074418,624911.04,7665.57
"195","Woodbury","PUERTO RICO & VIRGIN ISLANDS RUM",24175,11.1362595168455,282307.12,6942.68
"196","Woodbury","SPICED RUM",54085,13.8020202325978,765748.19,13166.42
"197","Woodbury","STRAIGHT BOURBON WHISKIES",30859,14.490216144707,490098.54,7351.44
"198","Woodbury","TEQUILA",34710,19.0270639527896,673260.85,7414.35
"199","Woodbury","VODKA 80 PROOF",128000,7.45090685311658,923592.25,28614.19
"200","Woodbury","WHISKEY LIQUEUR",42876,13.8204134978787,607275.94,9409.19
